OBJECTID,tag,status,cbu,owner,metered,fire_line,diameter,material,polywrap,yr_inst,length,yr_abandon,yr_removed,yr_replace,comments,NumberOfMa,Shape_Leng,Score,Soil_Comp,Soil_Comp_Full,Soil_Hydro_Group,Shape_Length,ElevChange,NumberofSLs
2646,wp29123,i,y,CBU,n,n,8,DI,n,1993,32,0, , ,41' between long strait segments,0,32.17412943,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,32.17412944,0.679534912,0
2647,wp29124,i,y,CBU,n,n,8,DI,n,1993,272,0, , , ,0,272.1451806,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,272.1451806,1.989196777,0
2648,wp212,i,y,CBU,n,n,8,DI,n,1994,183,0, , , ,0,172.3307145,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,172.3307145,3.497711182,0
2649,wp19612,i,y,CBU,n,n,8,DI,n,2005,254,0, , , ,0,255.9307802,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,255.9307802,5.616699219,3
2650,wp19622,i,y,CBU,n,n,8,DI,n,2005,88,0, , , ,0,88.80339715,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,88.80339714,2.104034424,0
2651,wp19624,i,y,CBU,n,n,8,DI,n,2005,32,0, , , ,0,32.25788656,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,32.25788657,1.119400024,0
2652,wp19637,i,y,CBU,n,n,6,DI,n,2005,231,0, , , ,0,223.6167659,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,223.6167659,0.79309082,1
2653,wp19642,i,y,CBU,n,n,6,DI,n,2005,152,0, , , ,0,153.4224535,4,BdB,"Bedford silt loam, 2 to 6 percent slopes",Group C/D,153.4224535,0.612243652,0
2654,wp19655,i,y,CBU,n,n,8,DI,n,2005,237,0, , , ,0,223.1444609,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group C,223.1444609,4.713943481,1
2655,wp24242,i,y,CBU,n,n,8,DI,n,2009,127,0, , , ,0,126.9712853,4,CaD,"Caneyville silt loam, 12 to 18 percent slopes",Group C,126.9712853,0.284042358,0
2656,wp24244,i,y,CBU,n,n,6,DI,n,2009,22,0, , , ,0,21.09123436,4,CaD,"Caneyville silt loam, 12 to 18 percent slopes",Group C,21.09123437,0.18196106,0
2657,wp24249,i,y,CBU,n,n,8,DI,n,2009,25,0, , , ,0,24.70678962,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,24.70678962,0.051422119,0
2658,wp24250,i,y,CBU,n,n,8,DI,n,2009,162,0, , , ,0,165.9035236,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,165.9035236,1.28187561,0
2659,wp24260,i,y,CBU,n,n,8,DI,n,2009,309,0, , , ,0,296.0683037,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,296.0683037,5.766189575,0
2660,wp24293,i,y,CBU,n,n,8,DI,n,2009,156,0, , , ,0,158.4333251,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,158.4333251,3.927947998,1
2661,wp28390,i,y,CBU,n,n,6,CI,n,1965,86,0, , , ,0,86.38795457,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,86.38795457,0.617340088,1
2662,wp28927,i,y,CBU,n,n,20,DI,n,1996,352,0, , , ,0,352.2925502,4,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,352.2925502,0.736175537,0
2663,wp29099,i,y,CBU,n,n,8,DI,n,1995,17,0, , , ,0,16.98693245,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,16.98693246,0,1
2664,wp22052,i,y,CBU,n,n,8,DI,n,2007,256,0, , , ,0,256.211089,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,256.211089,0.007293701,0
2665,wp22058,i,y,CBU,n,n,8,DI,n,2007,204,0, , , ,0,208.7823626,4,CrB,"Crider silt loam, 2 to 6 percent slopes",Group B,208.7823626,0.296569824,3
2666,wp22076,i,y,CBU,n,n,8,DI,n,2007,64,0, , , ,0,63.06125261,4,CrB,"Crider silt loam, 2 to 6 percent slopes",Group B,63.06125262,1.047698975,3
2667,wp22084,i,y,CBU,n,n,6,DI,n,2007,167,0, , , ,0,169.5682933,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,169.5682933,1.296905518,1
2668,wp22098,i,y,CBU,n,n,8,DI,n,2007,105,0, , , ,0,102.1238976,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,102.1238976,0.192474365,1
2669,wp22119,i,y,CBU,n,n,8,DI,n,2007,365,0, , , ,0,364.1106772,4,TlB,"Zanesville silt loam, 2 to 6 percent slopes",Group C,364.1106772,5.99887085,4
2670,wp22125,i,y,CBU,n,n,8,DI,n,2002,192,0, , , ,1,192.3517801,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,192.3517801,3.266418457,0
2671,wp28761,i,y,CBU,n,n,36,PC,n,1966,213,0, , ,"12"" tapping saddle used for repair of pulled corp at S end, 2013",0,213.1093972,2,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,213.1093972,1.445343018,0
2672,wp27252,i,y,CBU,n,n,24,DI,n,1965,146,0, , , ,0,146.4440501,3,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,146.4440501,1.236480713,0
2673,wp27256,i,y,CBU,n,n,20,CI,n,1966,421,0, , , ,0,420.5995828,3,CrC,"Crider silt loam, 6 to 12 percent slopes",Group D,420.5995828,8.238418579,0
2674,q45322,i,y,CBU,n,n,8,CIL,n,1910,54,0, , ,"betw 1898 & 1913, 1913 Sanborn map shows 4"" from Lincoln to E",0,54.27428052,3,Ua,"Udorthents, loamy",,54.27428052,0.195571899,1
2675,p45217,i,y,CBU,n,n,8,CIL,n,1910,30,0, , ,betw 1898 & 1913,0,29.98077448,3,Ua,"Udorthents, loamy",,29.98077448,0.145309448,0
2676,q5416,i,y,CBU,n,n,6,CI,n,1965,17,0, , , ,0,16.62269757,3,BdB,"Bedford silt loam, 2 to 6 percent slopes",Group C/D,16.62269757,0.213684082,0
2677,wp468,i,y,CBU,n,n,6,DI,n,1993,64,0, , , ,0,63.89411703,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,63.89411703,1.43951416,0
2678,wp3723,i,y,CBU,n,n,8,DI,n,1996,130,0, , , ,0,130.1061655,4,CrB,"Crider silt loam, 2 to 6 percent slopes",Group B,130.1061655,0.007354736,1
2679,wp686,i,y,CBU,n,n,8,DI,n,1994,326,0, , , ,0,325.8497786,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group C,325.8497786,1.483154297,4
2680,p47126,i,y,CBU,n,n,6,CI,n,1972,56,0, , , ,0,55.69782275,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,55.69782275,0.954742432,0
2681,wp1429,i,y,CBU,n,n,6,DI,n,1989,81,0, , , ,0,81.393107,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,81.39310701,0.045013428,0
2682,wp1483,i,y,CBU,n,n,12,DI,n,1995,152,0, , , ,0,151.519957,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,151.519957,3.443145752,0
2683,q46213,i,y,CBU,n,n,16,CIL,n,1925,242,0, , , ,0,242.3185872,3,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,242.3185872,1.131118774,1
2684,q46175,i,y,CBU,n,n,6,CIL,n,1922,21,0, , , ,0,21.05179516,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,21.05179517,0,0
2685,q46121,i,y,CBU,n,n,6,CIL,n,1922,188,0, , , ,0,187.8318661,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,187.8318661,2.171234131,3
2686,q43202,i,y,CBU,n,n,8,DI,n,1991,287,0, , , ,1,287.108123,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,287.108123,0.407730103,6
2687,q48225,i,y,CBU,n,n,6,DI,n,1989,31,0, , , ,0,30.5384538,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,30.5384538,0.500015259,0
2688,wp27466,i,y,CBU,n,n,8,DI,n,2010,276,0, , , ,0,274.5264342,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,274.5264342,0.886505127,2
2689,wp7612,i,y,CBU,n,n,36,PC,n,1966,750,0, , , ,0,750.3596642,2,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,750.3596642,4.813140869,7
2690,wp29156,i,y,CBU,n,n,12,DI,n,1995,280,0, , , ,0,280.1732959,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,280.1732959,3.327575684,0
2691,u4269,i,y,CBU,n,n,6,DI,n,1989,31,0, , , ,0,31.14875389,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,31.14875389,0.011642456,0
2692,t446,i,y,CBU,n,n,6,CI,n,1971,202,0, , , ,0,202.0095622,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,202.0095623,2.755630493,1
2693,r39147,i,y,CBU,n,n,6,CI,n,1974,36,0, , , ,0,35.61817411,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,35.61817411,0.16394043,0
2694,r39159,i,y,CBU,n,n,8,CI,n,1964,353,0, , , ,0,352.5541686,3,BdB,"Bedford silt loam, 2 to 6 percent slopes",Group B,352.5541686,2.811889648,3
2695,wp21082,i,y,CBU,n,n,8,DI,n,2006,136,0, , , ,0,140.4308239,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,140.4308239,1.880325317,2
2696,wp11322,i,y,CBU,n,n,8,DI,n,2000,114,0, , , ,0,113.901071,4,BdB,"Bedford silt loam, 2 to 6 percent slopes",Group C/D,113.901071,0.200286865,0
2697,wp8986,i,y,CBU,n,n,12,DI,n,1999,44,0, , , ,0,44.3955611,4,Cu,"Cuba silt loam, frequently flooded",Group B,44.3955611,0.308761597,0
2698,wp9000,i,y,CBU,n,n,12,DI,n,1996,101,0, , , ,0,100.612768,4,St,"Stendal silt loam, 0 to 2 percent slopes, frequently flooded, brief duration",Group B/D,100.612768,0.026733398,0
