FID,tag,wodate,datedone,size,material,install_yr,location,comments,abandoned,globalid
692,wpbrk0849,01/03/00,01/03/00,4,CI,1971,"southwest corner South Childs Ct main 18' W of CL, (full seal clamp)", ,n,{13298FA1-E68D-4443-9F59-1E3B7D694AEB}
693,wpbrk0850,12/13/99,12/13/99,6,CI,1970,"54' W of hydrant, 22' N of CL", ,n,{6D0BA717-7A22-4FA6-8F5E-155584C06E6B}
694,wpbrk0851,12/14/99,12/14/99,2,SDR-21 PR200,1999,"4154 E Ramp Creek Rd, 30"" deep, 2.38""OD, pvt", ,n,{560EC0CB-C46C-49A6-AF75-02509901E75A}
695,wpbrk0854,03/22/00,03/22/00,6,DI,2000,"Intersection of W 9th & Fairview, NW cor", ,n,{97D5867B-DE25-44F7-A0E6-08B3D6F799A7}
696,wpbrk0855,02/14/00,02/14/00,12,CI,1953,"S of Showers/phone=14""N wtr, 18""dp,2-4""plastic", ,n,{1B808B55-EBE0-46A2-A91C-D11167388D51}
697,wpbrk0858,01/27/00,01/27/00,1,Galvanized,unknown,"2303 N Walnut, 1""galv service line", ,n,{8B2C5630-F315-4F79-86A7-E415C00D241B}
698,wpbrk0861,10/27/99,10/27/99,6,CI,1962,"407 Western Dr, 14' E of CL", ,n,{72120692-F628-4170-A675-1F184E081123}
699,wpbrk0873,09/15/00,09/15/00,8,CI,1975,"10' N of Manhole, on street centerline", ,n,{843071C8-7F30-4CCD-B5A3-46C6F495F2D2}
700,wpbrk0877,08/01/00,08/01/00,6,CI,1959,E of 90-degree bend, ,n,{0214AB95-7476-4DBD-AEF3-E13B9E8B0224}
701,wpbrk0878,12/18/98,12/18/98,6,CI,1960,"W 10th & Adams, in intersection broken around (full seal clamp)", ,n,{7C847430-D2F9-4BBA-981E-3790075D5343}
702,wpbrk0879,12/27/98,12/27/98,6,unknown,unknown,SW of 2010 W Ross Ln (N of Allen), ,n,{12C4F582-769B-4C8D-B4D0-92E58C9E0BB0}
703,wpbrk0895,1999,1999,4,C-900,1988,Devonshire Ct/Russell Rd entrance/2 sleeves, ,n,{E0CCAF80-EA32-491B-A855-65E53C288111}
704,wpbrk0896,12/16/98,12/16/98,6,unknown,unknown,Behd 1025 S Manor/damged by Ameritech, ,n,{5F3B3BCA-6578-4370-8AAE-7E9479A995BD}
705,wpbrk0899,04/13/00,04/13/00,16,CI-lead joint,1925,1309 N Dunn/6'E of CL/next to corp for 510 E 17th, ,n,{459075D9-8E4E-47E3-93CD-4CAF8849DDFE}
