FID,tag,wodate,datedone,size,material,install_yr,location,comments,abandoned,globalid
935,wpbrk1249,12/14/09,12/14/09,16,DI,2009,"16 in. main split, replaced 18' of 16 in. and added butterfly valve", ,n,{1DD64E3B-B318-4D98-967E-5C6A3DC9D395}
936,wpbrk1250, ,12/16/09,6,unknown,unknown,Northwest corner Kinser and Stephens (2 full seals), ,n,{53E8F281-F78E-4A52-8257-F5AC792AEA5F}
937,wpbrk1251, ,12/16/09,8,CI,1961,In sidewalk north of service line to 2504 E. 3rd Street (full seal), ,n,{392A1486-1972-4117-8F94-BAB75E55C7CA}
938,wpbrk1252, ,12/17/09,6,CI-lead joint,1910,600 S Rogers Street (full seal), ,n,{B0C8E9F3-6875-4080-9B83-A96C5FE808AE}
939,wpbrk1253, ,1/3/2010,12,CI,1953,14 ft S of street cl - 12in CI - 2in X 5in hole (12 X 15 full seal), ,n,{5819D22F-2D8C-415E-9F12-3A468122DC32}
940,wpbrk1254, ,1/2/2010,6,CI-lead joint,1926,1214 E 1st Street 7ft south of center line (short full seal), ,n,{DE63DCE5-A712-4C7A-9A4E-4102DB52F0AF}
941,wpbrk1256,01/05/10,01/05/10,6,CI,1974,Westminster and Regency 8' from valve (full seal clamp), ,n,{6B3D240E-FF79-4D9A-84C3-621B405925AD}
942,wpbrk1257, ,01/05/10,6,DI,2014,415 S Grant 295' from valve on E Second Street (full seal clamp), ,n,{58E177CE-44D7-491F-90DD-597EB095AC0E}
943,wpbrk1258,01/09/10,01/10/10,6,CI,1962,801 S Hickory 75' south of fire hydrant (full seal clamp), ,n,{BC8061E8-7765-49DA-8929-680893645D7D}
944,wpbrk1259,01/19/10,01/16/10,6,CI-lead joint,1929,E of E 3rd & Eastside Dr on 3rd Street (full seal clamp), ,n,{AFB83302-F266-40DB-A534-5A470ABC8F1F}
945,wpbrk1261,02/01/10,02/01/10,6,CI,1961,192' south of fire hydrant #1235 at south edge of 3425 N. Stoneycrest (fullseal clamp), ,n,{44A775D5-7569-4C1A-AF0E-929C8F9CA819}
946,wpbrk1262,02/02/10,02/02/10,4,CI,1970,in middle of sidewalk 4222 W Curry Ct east edge of house (2-full seal clamps) 1 crack & 1 hole, ,n,{7EFDB134-D490-450A-96C9-C5AB8261B183}
947,wpbrk1263,02/05/10,02/05/10,2,Unknown,1970,Evergreen Drive east of 414 N. Johnson in roadway 1'from south edge (fullseal clamp), ,n,{32ECF425-5324-4F39-9859-8062160F8030}
948,wpbrk1265,02/19/10,02/19/10,6,CI,1960,"Brownridge; S side of road in dirt, 161' W of Hydrant 3616 (fullseal clamp)", ,n,{551E2B94-ABAE-4E85-B3C8-3C8954A10F09}
949,wpbrk1266,2/1/10,2/1/10,6,CI,1957,8th & Clark; 12' south of fire hydrant east edge of road, ,n,{2E4F55D4-6935-430C-9610-92AD9D777DCC}
950,wpbrk1277,04/16/10,04/16/10,2,unknown,unknown,"Contractor directional bored through 2\"" gray plastic water main (we had listed as abandoned)", ,n,{EBF98C99-27DD-47AA-993B-4DEB11FC62D7}
951,wpbrk1279,07/24/09,07/24/09,6,CI,1963,"614 S Clifton, E side of road, 6in full seal clamp", ,n,{3B3C2811-BB99-4908-B198-58F337F8B7A0}
952,wpbrk1280,11/25/09,11/25/09,4,CI,1971,2622 Spicewood Ct. in driveway entrance, ,n,{38A85A0C-CF2B-4EC2-BB7B-EBCA0662D80C}
953,wpbrk1281,05/29/09,05/29/09,6,DI,1981,1305 S College Mall in parking lot (6 in full seal), ,n,{66CE6158-F591-41D9-9F03-D704BFD0113E}
954,wpbrk1255,12/29/09,12/29/09,6,CI,1970,107 N Johnson - fullseal clamp, ,n,{441AD7BE-3BB6-448A-9578-DE98384D04CF}
955,wpbrk1282,01/22/09,01/22/09,4,unknown,unknown,2421 N Barbra Dr. north of house in yard (short full seal clamp standard size)., ,n,{68AC2AFD-C57F-4662-845D-B40A847BD696}
956,wpbrk1283,01/26/09,01/26/09,6,CI,1975,306 E 19th (full seal clamp short and replaced service), ,n,{702AFA6D-AC3F-4CCF-8795-8DB18DFF516C}
957,wpbrk1284, , ,unk,unknown,unknown, , ,n,{13C02C57-5DD3-4335-BE99-C040B209D75F}
958,wpbrk1285,09/17/09,09/17/09,6,CI,1959,"3508 E Morningside Dr. replaced 30inches of pipe using 2-6\"" sleeves", ,n,{B170464F-A927-4DBB-9E77-32576466C2E0}
959,wpbrk1286,11/10/09,11/10/09,6,CI,1963,"3442 E. Longview 6\"" short full seal clamp in the grass south of roadway", ,n,{A91E0EDF-667F-48B9-A3B6-4A6CF07554F1}
960,wpbrk1287,11/20/09,11/24/09,6,CI,1970,"2700 E Covenanter -25ft E of valve, under sidewalk -6 inch short full seal clamp", ,n,{AAA7CABF-B459-475B-AB5C-5D8461732D91}
961,wpbrk1288,03/11/09,03/11/09,8,unknown,unknown,2420 N Arlington rd- 4 ft E of roadway -short full seal clamp, ,n,{2D34B017-81BA-4707-8748-AE1A865B0CEE}
962,wpbrk0645,12/13/82,12/13/82,8,CI-MJ,1955,2400 Block Arlington Rd, ,n,{360E14A4-44B7-4AC5-B1D5-2418E2A88513}
963,wpbrk0693,12/08/81,12/08/81,8,CI-MJ,1955,2323 N Arlington Rd, ,n,{06B031F7-149D-417B-9805-1C43C26E6B87}
964,wpbrk0554,01/25/85,01/28/85,6,CI,1974,3431 Barbara, ,n,{1F89557E-797C-4C62-8CDA-29710F9E8DB2}
965,wpbrk1289,02/23/09,02/23/09,8,CI or DI,1973,415 W 7th -full seal clamp with 3/4in service connection, ,n,{29771FC5-F6DE-44FE-9A7F-433AF54EB0C3}
966,wpbrk1290,02/19/09,02/16/09,12,unknown,unknown,"12in main damaged by contractor 1-short and 1-long 12\""full seal clamps-N Prow Rd", ,n,{9D8EEEDF-7F4B-4C08-A018-8A57554E3CA0}
967,wpbrk1291,01/16/09,01/16/09,6,CI,1970,Wilton 48 feet north of Greenbriar 3foot behind curb (short full seal clamp), ,n,{8719558F-E551-486E-B8F7-598079F55DC2}
968,wpbrk1292,05/19/10,05/19/10,6,unknown,unknown,SW corner Kirkwd & College-  6in stub line to W torn out - capped, ,n,{22436E47-721F-4870-84A4-CB1DC05F7757}
969,wpbrk1293,09/06/09,09/06/09,6,unknown,unknown,200 S Jordan 6 inch main break(split) replaced 4ft of pipe with two sleeves, ,n,{A0C899F7-8143-4E7E-B9DE-77EFC3C6EC5E}
970,wpbrk1294,09/03/09,09/04/09,6,CI-lead joint,1934,"1405 S Rogers (long) 6in full seal clamp, water in ditch while contractor installed new storm pipe", ,n,{56E9C9C3-0231-4001-8305-570A87F9DD47}
971,wpbrk1295,09/01/09,09/02/09,6,CI,unknown,6X6 cross plug leaking cut out cross and replaced with sleeve and cut-in sleeve., ,n,{1250BB0E-E469-4F42-9CDC-22B1CA840BD5}
972,wpbrk1296,01/20/09,01/20/09,6,unknown,unknown,W 12th -6in break -capped main and closed valve to abandon main from Blair to Orris, ,n,{1D7CBAA9-609C-46D5-82DD-3B100EDCE5D0}
973,wpbrk1297,3/30/10,3/30/10,2,unknown,unknown,"east of 2244 N Martha (clamp on 2\"")", ,n,{4BFF7108-861B-4221-A27E-1C58A738DFD6}
974,wpbrk1298,6/15/10,6/15/10,6,CI,1959,"1306 W 15th street(full seal clamp) 4\"" hole in bottom of pipe", ,n,{F522B046-DB78-4AF3-A1B9-8C7E5120A0A7}
975,wpbrk1299,07/07/10,07/07/10,6,unknown,unknown,4153 Hector Dr edge of roadway in grass (long hole in bottom of pipe used long full seal), ,n,{D4680930-44F3-47CE-8B1A-1DA98BA223CC}
976,wpbrk1300,07/19/10,07/18/10,4,DI,1978,1633 S Williams Ct  10' south of driveway 3' east of curb in tree plot, ,n,{D41FDA67-0A0D-4D76-A98B-4BF1332D2B98}
977,wpbrk1302,07/29/10,07/29/10,6,CI,1960,3624 E Brighton Ave - roadway buckled- 6in CI pipe - full seal clamp, ,n,{0BC01D1F-70D7-4E7E-A773-ECA446A6DF17}
978,wpbrk1303,08/06/10,08/06/10,20,DI,2011,on segmented welded 90-deg bend of welded steel 20-in, ,n,{CE8CCCB4-E86F-4278-82D5-CE0A185B87A0}
979,wpbrk1304,08/06/10,08/06/10,6,CI-lead joint,1929,1708 E 3rd St - 6in CI - hole in pipe - clamped, ,n,{EB972122-6BD6-48F3-A186-90995ACC284D}
980,wpbrk1305,08/07/10,08/07/10,2,unknown,unknown,431 W Walls Dr - 2in galvanized - clamped, ,n,{65BAB319-D130-40A8-AD0D-12E9D5E47EED}
981,wpbrk1306,08/16/10,08/15/10,12,DI,2012,Rogers Rd west of Sare Rd - 1.5in service saddle to irrigation meter (bolts corroded), ,n,{4E2407D7-5F80-44FA-8720-CFC440EB0A92}
982,wpbrk1307,08/16/10,08/15/10,6,CI,1971,2417 S Spicewood Ln east of roadway north of house (short full seal clamp), ,n,{DACFC7D0-8109-4AEE-AFDD-9706D3EEA5F6}
983,wpbrk1309,08/24/10,08/24/10,6,DI,2010,Johnson & W 3rd -N side- line capped N of valve-to connect to new line eventually, ,n,{495C8F6A-262E-49E8-8E75-7C3F87821BE1}
984,wpbrk1312,09/07/10,09/07/10,6,CI,1964,In front of 307 Sheffield (full seal clamp), ,n,{68C75AB7-1FB7-4358-91EC-2C578027E99D}
985,wpbrk1313,09/10/10,09/10/10,6,CI,1960,"corp. leaking, sealed with short full seal; 909 W 1st St", ,n,{A1EA3F40-E502-4B4D-A089-FA36602A7E09}
986,wpbrk1314,08/31/10,08/31/10,6,CI-lead joint,1934,515 W. Wylie St. hole in pipe (full seal clamp), ,n,{A9D85597-2199-418A-A266-FCCB980CC934}
987,wpbrk1316,09/22/10,09/22/10,6,unknown,unknown,1in tap blown out - eliminated with full seal clamp - 528 E Dixie - transite, ,n,{82A95B95-F264-4C6A-A7BB-A3A1EABD5328}
988,wpbrk1317,9/29/10,9/29/10,6,CI,1970,between 2700 and 2714 E Pine Lane south of road (full seal clamp), ,n,{FA362D72-A71B-4FDF-A3A2-5D86D78EE4CF}
989,wpbrk1318,9/28/10,9/28/10,6,unknown,unknown,3601 W Festive Dr at intersection Tyler and Festive (full seal clamp), ,n,{A9FB2D83-CD16-44A4-9A2A-3D8C0A5D2580}
990,wpbrk1319,09/20/10,09/19/10,6,CI,1972,3502 S Tyler Ln 36ft east of water meter 5ft north of sidewalk (full seal clamp), ,n,{CF1E1B5C-01C7-47AD-ADDB-693CF2F7F7BC}
991,wpbrk1320,10/04/10,10/02/10,4,CI,1959,1215 S Collinswood Dr in cul-de-sac (full seal clamp), ,n,{0D42FD44-287B-4992-9A61-377286EE563A}
992,wpbrk1321,09/20/10,09/18/10,6,CI,1959,south of road east of 3636 E Park Ln (full seal clamp), ,n,{EF14AA28-349E-4282-90B8-765CA3965AA8}
993,wpbrk1322,09/20/10,09/18/10,6,CI,1970,2700 E Covenanter 12 ft east of valve ( full seal clamp), ,n,{9B5FEBA5-4CC3-4AE3-9270-9F9BE6E34243}
994,wpbrk1323,10/04/10,10/03/10,8,unknown,unknown,IU Golf Course irrigation service line (full seal clamp), ,n,{F210BB26-9ADC-4995-9C27-9C8D78BB321D}
995,wpbrk1324,09/16/10,09/16/10,6,CI,1961,Southeast corner of Sims and Plaza about 10' west of fire hydrant (full seal clamp), ,n,{A17B96CE-8158-4EDF-8441-AB0486622FFE}
996,wpbrk1325,09/27/10, ,6,DI,1987,2380 E Linden Hill in south edge of road, ,n,{132AA670-82C9-4D99-BAAF-27CD9902E7E7}
997,wpbrk1326,08/30/10,08/28/10,6,CI,1971,2231 S Fairmount Ct in front of house in grass, ,n,{B560F261-9E3F-4126-93BD-D661BD28CC21}
998,wpbrk1327,10/06/10,10/05/10,6,CI,1956,2611 N Skyline in street 2ft from east edge (full seal clamp), ,n,{19680B58-01CF-4B58-ABDF-6C2E21A1467F}
999,wpbrk1328,10/05/10,10/05/10,4,CI,1971,2622 E Spicewood Ct driveway entrance in street(full seal clamp) damaged lateral when excavating, ,n,{80B97704-8B69-4023-8570-231CC4BB09CE}
1000,wpbrk1329,10/18/10,10/16/10,6,CI,1971,2219 E Rockcreek in tree plot 32 inches behind curb (full seal clamp), ,n,{3F240A4A-1018-4417-B11B-5D872C9AD264}
1001,wpbrk1330,04/05/10,04/02/10,8,DI,1993,Janet Dr. & SR 446 contractor damaged main with directional bore., ,n,{0712884E-1447-42D9-B7F5-91E1A8EDE1CB}
1002,wpbrk1331,11/03/10,11/03/10,6,CI,unknown,1800 N Kinser Pk on serv line to IMI Concrete- 42ft from valve W side of rd (full seal clamp), ,n,{0EB301AD-3077-4DB9-80E7-D225FA04A159}
1003,wpbrk1332,11/08/10,11/08/10,12,CI,1957,Marilyn & High 12in main split-replaced 18ft & added valve(mechanical joint pipe), ,n,{BE10D30F-5DA8-401F-BE60-7A54982FF479}
1004,wpbrk1333,11/3/10,11/3/10,4,CI,1971,3465 W Ooley 88ft SE of valve at Reba and Ooley (full seal clamp), ,n,{3D9FD404-2FD5-47C5-9BD2-3ED09D1B791E}
1005,wpbrk1334,11/9/10,11/9/10,6,CI,1956,106 S Sherwood Dr - 95ft W of FH 1841 (full seal clamp), ,n,{FD6979E6-F3DD-47ED-872C-A293F1A14B76}
1006,wpbrk1335,11/4/10,11/4/10,6,CI,1961,3620 E Longview - 101ft from hyd 904 - repaired with full seal clamp, ,n,{C91BA559-3DD0-48C1-9B34-4AA51501A00F}
1007,wpbrk1336,11/29/10,11/29/10,4,unknown,unknown,"4in CI service line to meter for Northcrest Apartments, 440 N Woodburn", ,n,{F09B20E3-78F7-41FF-A474-931516DD8B28}
1008,wpbrk1337,11/29/10,11/27/10,6,CI,1965,"2213 E Queens Way, 11ft E of drive, 3.5ft north of curb, CI, 6in full seal clamp", ,n,{2047C0A2-F358-45AF-BA6E-CD72C2511C70}
1009,wpbrk1338,12/08/10,12/08/10,6,CI,1970,1924 S Locust in the grass 6in behind curb  (full seal clamp on CI), ,n,{5F43084E-E2C7-4627-85A5-9713A9468CE0}
1010,wpbrk1339,12/7/10,12/7/10,2,SDR-21 PR200,1986,613 W Graham on Ford Ave - S of valve plastic fitting broke at valve connection, ,n,{4B81AE69-6E64-4F16-BDE9-A46FB30646BF}
1011,wpbrk1340,12/7/10,12/7/10,2,Polyethylene,2005,"Cor of Kirkwood and Rogers, 2in PE pipe pulled out of compression fitting at valve", ,n,{9E0D6308-C159-4D32-ABAA-0919F98CB0D6}
1012,wpbrk1341,12/10/10,12/11/10,12,unknown,unknown,"hole in 12 inch DIP (full seal clamp) by MH, 89 feet W of valve l4323", ,n,{DA5BAE1D-20FD-47DA-B04F-B18D62ABCD0C}
1013,wpbrk1342,12/10/10,12/10/10,8,CI-MJ,1955,1404 W Arlington broken pipe (full seal clamp) two other clamps in excavation, ,y,{1EB5D63A-05AD-4D30-81F9-3C2F333A56D3}
1014,wpbrk1343,12/20/10,12/20/10,4,CI,1965,218 E Sunny Slopes 1.5ft West of sanitary (full seal clamp), ,n,{7F87C7D4-F1EC-4A15-98A4-6D4A6AB07DF9}
1015,wpbrk1345,12/14/10,12/14/10,6,CI,1959,418 E Blue Ridge -6in CI - full seal clamp, ,n,{E0167794-D094-4C6C-9FB8-C76637862BEA}
1016,wpbrk1346,12/14/10,12/14/10,6,CI,1961,North of 4005 N Rural west of street south of ditch (full seal clamp), ,n,{14EF2578-C73C-4F2C-A3D5-07728945F338}
1017,wpbrk1347,12/20/10, ,1,Polyethylene,unknown,825 W 8th St - 1in PE pipe serivce broke off from corp stop valve, ,n,{EA8A526F-D03A-47B4-A189-2A4BDD8A8D4A}
1018,wpbrk1348,12/16/10,12/16/10,6,CI-lead joint,1922,1211 N College Ave. main break (full seal clamp), ,n,{1E18B3ED-CB73-40E8-8369-83C5AB03980A}
1019,wpbrk1349,12/16/10,12/16/10,6,CI,1959,2415 W Vernal - northside of road NW of house (full seal clamp), ,n,{020732CF-5CD4-4342-83F1-28EE59CE460B}
1020,wpbrk1350,12/17/10,12/17/10,6,CI-lead joint,1922,800 E Atwater - front of IU Optometry (full seal clamp), ,n,{C09D0CB7-4049-4EAB-AC4E-90F05155A7D6}
1021,wpbrk1351,12/21/10,12/21/10,6,unknown,unknown,3111 E St James Ct. hole in DIP (full seal clamp) 117 feet west of fire hydrant(2 of 2 clamps today), ,n,{D880A36E-90E4-4C65-B8AA-DF24E0228A5D}
1022,wpbrk1352,12/21/10,12/21/10,6,unknown,unknown,3111 E St James Ct - hole in DIP (full seal clamp 1 of 2 today) 2 existing clamps in excavation, ,n,{9CBAD358-0D1F-485A-B742-0E53677F359D}
1023,wpbrk1353,11/05/10,11/05/10,2,unknown,unknown,4211 E 2nd 2 inch galvanized manifold to Latter Day Saints Church service line, ,n,{BC2B744E-7340-4232-B2E6-4C437E952288}
1024,wpbrk1354,11/11/10,11/11/10,6,CI,1958,E 8th west of Clark St, ,n,{B019A56B-BFE1-4CD3-B727-42860409C08F}
1025,wpbrk1355,11/06/10,11/06/10,6,unknown,unknown,4440 E Etter Dr (full seal clamp), ,n,{0CEB08CD-348B-4223-BABF-DE07F15120A4}
1026,wpbrk1356,12/13/10,12/10/10,2,unknown,unknown,1509 & 1510 E Richland (galvanized manifold for service lines to house at end of main), ,n,{DB544C73-F74A-4751-92B8-677E0791BEB3}
1027,wpbrk1357,12/15/10,12/15/10,6,DI,1982,1826 S Highland in front of detached garage, ,n,{FF41C87A-F746-41DF-82C6-5410A11218C5}
1028,wpbrk1358,11/18/10,11/18/10,6,CI,1961,3760 W Oak Leaf southwest property corner (full seal clamp), ,n,{9DD85E15-F6C0-46C4-89C4-2BD3697AB499}
1029,wpbrk1359,12/03/10,12/03/10,6,unknown,unknown,4196 W Grand Ave. behind house at northwest property corner, ,n,{601E5990-4722-41D4-8F79-B9EB27EF7C57}
1030,wpbrk1360,12/13/10,12/13/10,6,CI,1953,940 S Hawthorne main break north of fire hydrant (full seal clamp), ,n,{E228C761-0338-41F8-BD15-CC7F64CB0D0F}
1031,wpbrk1361,12/01/10,12/01/10,12,CI,1957,1900 S Walnut south of fire hydrant 2492, ,n,{0191AB3F-CADF-47B2-9064-13EBD5318E40}
1032,wpbrk1362,12/23/10,12/23/10,6,Transite,1957,E of 312 E Dixie -hole in Transite A/C pipe (special oversize full seal clamp), ,n,{D81740DA-6BDA-42F2-A68C-76B5C52529F9}
1033,wpbrk1363,12/29/10,12/29/10,6,CI,1965,131 E Ridgeview Dr - 40ft west of driveway (full seal clamp), ,n,{5DC9D285-4E01-4FDF-893A-4A1E444272EA}
1034,wpbrk1364,11/15/10,11/15/10,6,unknown,unknown,731 Pepperridge northeast of driveway  (full seal clamp), ,n,{CF2E52E4-4C14-430E-A369-D0967E34BAE4}
1035,wpbrk1365,12/30/10,12/30/10,2,DI,1993,2500 N Curry Pike 2in service tap -saddle corroded (covered hole with 12in full seal clamp), ,n,{561E8F2D-9CF5-4D31-B537-F144DBBC9B8A}
1036,wpbrk1366,01/03/11,01/03/11,4,CI,1970,4524 E Wiltshire Ct - 142 ft from SW corner of house (full seal clamp), ,n,{ADBC72C6-2F82-4C7D-9797-3574ECFC3F26}
1037,wpbrk1368,12/26/10,12/27/10,6,DI,1992,Dixie and Washington  (full seal clamp), ,n,{03BB140D-1FDD-4942-A4BF-01C493BE6E6A}
1038,wpbrk1369,1/5/11,1/5/11,6,CI-lead joint,unknown,408 W Howe in street at east property line (full seal clamp) - 6in CI, ,n,{D683718E-22CC-4AE9-B3BB-E6890D16BAF7}
1039,wpbrk1370,01/07/11,01/07/11,6,CI,1964,1345/1352 E Mercedes Dr replaced an existing full seal clamp that was leaking, ,n,{FE2B731F-AAD9-474F-9005-2C483F6E71B5}
1040,wpbrk1371,01/11/11,01/11/11,6,CI,1956,3501 N Kinser Pk. under pavement E edge of road (full seal clamp), ,n,{4050DC03-E2A0-4CD5-84B2-9CD16A9FD34F}
1041,wpbrk1372,01/14/11,01/14/11,6,DI,1980,Meadowood - W side of large bldg - 6in main - 8 ft deep - private line, ,n,{3ECE8CB9-BA3C-4D64-8F66-63D81DC137D1}
1042,wpbrk1373,01/21/11,01/21/11,4,CI,1957,2518 E 8th Street south of roadway (full seal clamp), ,n,{186D69DB-6996-49BB-80E7-14B4EA7E71A4}
1043,wpbrk1374,01/22/11,01/22/11,6,CI,1967,421 E Clover Ln north of roadway in ditch (full seal clamp), ,n,{12B41EA3-6A86-47BC-9DD8-35B82D8DC530}
1044,wpbrk1375,02/03/11,02/03/11,6,unknown,unknown,"1507 S Nancy St has a previous clamp in excavation, (hole in pipe, full seal clamp)", ,n,{A9BFE036-B0FD-4F81-B951-293527EAD835}
1045,wpbrk0025,10/25/94,10/27/94,unk,unknown,unknown,1506 Nancy, ,n,{3568C44A-B791-40AB-AFC4-DBF9D9A54F2E}
1046,wpbrk1378,02/25/11,02/25/11,8,CI-MJ,1955,2204 Arlington Rd east edge of roadway hole in pipe (full seal clamp), ,n,{50FABEB9-37BC-4303-82E8-3ABDD7111A61}
1047,wpbrk1379,02/28/11,02/28/11,8,CI-MJ,1955,"2424 Arlington Rd, 87ft S of fire hydrant - hole in pipe (full seal clamp)", ,n,{98FC5CE5-E1E8-4FBD-89E1-43F3EFDDD881}
1048,wpbrk1380,03/07/11,03/07/11,6,CI,1959,3514 E Morningside - water main split (replaced 3ft section of pipe with solid sleeves), ,n,{3FAF69C4-A936-4736-8266-6E7B86986D1D}
1049,wpbrk1381,3/12/11,3/12/11,18,CI-lead joint,1925,2025 N Dunn contractor (Miller Pipeline) tore out a corp stop (full seal clamp repair), ,n,{4B1DCBFF-AAF2-4EF0-A119-10379D8A1813}
1050,wpbrk1382,03/13/11,03/13/11,6,CI,1961,610 N Staats Dr - main cracked around (full seal clamp repair), ,n,{C1D81AF6-B769-4821-869E-532EF75977C6}
1051,wpbrk1385,03/24/11,03/24/11,8,CI-lead joint,1910,501 N Rogers storm crew pulled abandoned corp stop out of main (full seal clamp), ,n,{4D52C588-AD99-4078-85F0-C95736F4A38D}
1052,wpbrk1386,03/31/11,03/31/11,6,CI,1960,2201 N Fritz Dr contractor damaged unmarked water service (used full seal clamp) retapped corp stop, ,n,{FA98134A-DC9A-4B9F-98E8-4EBF761A9E2D}
1053,wpbrk1389,04/08/11,04/08/11,6,DI,1988,3801 W Woodmere Ct- hole in DI pipe (full seal clamp) pipe is pitted around hole., ,n,{09A75941-C079-4AB7-8C45-377332BDAE40}
1054,wpbrk1392,04/18/11,04/18/11,2,Galvanized,unknown,"615 W 15th St, hole in galvanized pipe (repair clamp)", ,n,{DFEE7C10-47D1-401E-8381-5B4EB234415B}
1055,wpbrk1394,04/18/11,04/18/11,6,CI,1951,N Old SR 37 and Audubon intersection hole in pipe (full seal clamp), ,n,{DE3E4963-A679-4E38-B8F6-C6D040AC65A7}
1056,wpbrk1395,04/21/11,04/21/11,8,DI,1995,400 W Somersbe hole in DI pipe (full seal clamp), ,n,{7B9B2348-1C1A-4A29-A84C-C7810E971DA0}
1057,wpbrk1397,05/09011,05/09/11,6,Transite,1957,319 E Dixie (A/C) transite with 18x5 hole top of main- replacd 3ft with DIP & 2 clamps, ,n,{8E8FDC99-918A-4565-B86F-502B4DF0AED2}
1058,wpbrk1400,05/16/11,05/16/11,6,CI,1964,3803 S Sharon Dr 3.5inch hole bottom pipe 4ft E road N edge driveway (long full seal clamp), ,n,{8A2D119E-05BD-4A97-8AA6-F0BCDB165D07}
1059,wpbrk1401,5/16/11,5/16/11,8,CI-MJ,1955,1530 W Arlington 3.5inch hole in bottom of main 2ft E of road   (long full seal clamp), ,y,{AEED5049-2901-4419-818A-8C169556E76B}
1060,wpbrk1403,5/23/11,5/23/11,6,unknown,unknown,3904 S Sage Ct hole in main 83ft S of valve r382 (full seal clamp), ,n,{0AF9A149-D609-4001-B6E6-43F0DA25938D}
1061,wpbrk1404,5/22/11,5/22/11,6,DI,1983,2696 S McCartney N of driveway 3ft W curb hole in top of pipe (full seal clamp), ,n,{6EBF83FC-3594-4E3D-A2DE-51685A4F8189}
1062,wpbrk1405,6/6/11,6/6/11,6,DI,1987,2855 N Walnut east side of road (hole in pipe) full seal clamp, ,n,{2DF43955-9FBE-4F18-95EF-DBF5677E8878}
1063,wpbrk1406,6/13/11,6/13/11,6,DI,1982,108 E Southern Dr. hole in pipe (full seal clamp), ,n,{CCC421CD-938C-45FD-AC91-2C8C32710B32}
1064,wpbrk1407,6/9/11,6/9/11,6,DI,1988,3304 E Roy Schmalz Ct. hole in bottom of pipe between tee and hydrant valve (full seal clamp), ,n,{632E510B-3F8D-4499-9AC4-9AB6168B6586}
1065,wpbrk1408,6/16/11,6/16/11,4,unknown,unknown,3445 S Hays Dr. mainbreak in street (full seal clamp), ,n,{89337DF4-0C58-4DC9-B4C7-9B56455B73B4}
1066,wpbrk1409,6/16/11,6/16/11,12,DI,1979,"Vernal Pk & Sunrise Greetings Ct contractor damaged 12\"" valve (REPLACED VALVE)", ,n,{56127DA9-1893-403A-B51A-9391E9109B48}
1067,wpbrk1413,7/25/11,7/25/11,6,DI,1988,3708 S Grasstree mainbreak hole in pipe (full seal clamp) 6ft from edge of street, ,n,{37C3CD2E-83D2-41CC-971D-9F01965499EC}
1068,wpbrk1414,7/27/11,7/27/11,6,unknown,unknown,4323 E Deckard Dr service corp leaking to 4321 E Kinser Dr. (full seal with 1 inch outlet), ,n,{6582C365-D668-4241-985F-0F1529EA8FC3}
1069,wpbrk1415,7/27/11,7/27/11,6,C-900,2018,4323 E Deckard Dr. damaged unused service stub while fixing leak (full seal clamp), ,n,{05AC7920-A12D-4524-9FBE-8DC676A2674E}
1070,wpbrk1416,8/11/11,8/12/11,2,unknown,unknown,"420 E 6th street 2inch service lines leaking, hole in pipe and cracked fitting", ,n,{46DC31AD-7520-4DB8-82FF-E9C9AA3CBA3E}
1071,wpbrk1417,8/18/11,8/18/11,6,unknown,unknown,3904 S Sage Ct holes in main installed 3 full seal clamps, ,n,{2CF22DC9-C898-4EED-BDD5-8BDE907C3A36}
1072,wpbrk1418,8/15/11,8/16/11,4,SDR-21 PR200,2000,"611 W Church Ln. 4\"" SDR-21 PVC main split, replaced section of pipe", ,n,{66BC91B2-D0B4-4FF2-9D90-889AC3437FD2}
1073,wpbrk1419,8/23/11,8/23/11,6,CI,1959,3514 Morningside mainbreak south of roadway northeast corner of house (full seal clamp), ,n,{32020E65-4423-49CE-AD78-2E0FC56B0290}
1074,wpbrk1421,08/30/11,08/31/11,12,CI,1965,"1402 S Henderson, pipe split, replaced 9.5ft of pipe", ,n,{8112FD4C-09CD-4BE8-89A8-80EB88819CDC}
1075,wpbrk1423,9/15/11,9/15/11,12,DI,1982,724 W Allen 6ft south of street circumferential crack (full seal clamp), ,n,{517096AF-6D3D-4FEE-BE2B-F9A5EC700D4C}
1076,wpbrk1424,9/13/11,9/13/11,6,CI,1976,East of intersection 15th and Jackson circumferential crack (full seal clamp), ,n,{9ACEE34E-AB5B-4839-AC94-3F3DAB2E32F1}
1077,wpbrk1425,9/11/11,9/12/11,12,CI,1958,914 W Cascades backyard water main split replaced 8ft of pipe., ,n,{24F99882-7AAB-4D80-8B4C-450B374F9D19}
1078,wpbrk1426,9/15/11,9/15/11,8,CI-MJ,1955,1726 Arlington break (full seal clamp), ,y,{98C23360-5A21-4E57-B6D9-3687556FBCBA}
1079,wpbrk1427,10/03/11,10/03/11,6,DI,1980,1819 S Covey mainbreak (full seal clamp), ,n,{8DC6468B-C536-4579-8C88-F212085F8DF3}
1080,wpbrk1428,9/30/11,9/30/11,6,CI,1959,1414 W 12th street main break (full seal clamp), ,n,{1571B373-A143-4F0D-B2C5-3215C57B69C6}
1081,wpbrk1429,9/26/11,9/26/11,6,CI,1961,"3737 S Plaza (5ft east of road edge in gravel parking area, (full seal clamp)", ,n,{32CA3190-D174-4D11-8CEC-1422BB2A6E38}
