FID,tag,pipe_tag,pipe_year,date_repor,time_repor,reported_b,date_repai,time_start,time_compl,temperatur,address,pressure_z,direction_,surface_ab,traffic,pressure_c,chl_res_1_,pressure_1,chl_res_11,tallest_bu,special_se,size_of_ma,outside_di,depth_of_p,pipe_mater,type_of_jo,other_line,existing_b,descriptio,damaged_pa,deteriorat,type_of_fa,prev_leaks,number_of_,cause_of_b,remarks,repaired_o,method_of_,repairs_ma,comments,pres_ch_3_,chl_res_3_,pres_ch_31,chl_res_31,solution_s,trench_pum,pump_size_,line_flush,both_direc,abandoned,globalid
282,283,m3923,1972,2017-10-19,1200, ,2017-10-19,1200,2000,Hot (>70°F),3142 Yonkers,South,Loop,Paved,Medium,90,2.2,0,0,2,No,6,6,48,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Inside,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0, ,Yes,2,Yes, ,n,{C428FEA3-C332-43FF-9CE3-414A970BCD43}
283,284,p46108,1987,2017-10-20,800, ,2017-10-20,800,1400,Hot (>70°F),8th Street & N Fairview,Central,Loop,Paved,Medium,80,1.7,0,0,4,No,6,6,54,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0, ,Yes,2,Yes, ,n,{33B43D94-EC08-4A9D-8441-2A5AF61E1C78}
284,285,v4575,1964,2017-10-30,800, ,2017-10-30,800,1200,Cold (40°F-55°F),4101 E Saratoga Dr,Central,Loop,Paved,Medium,70,1.9,0,0,2,No,6,6,72,Cast Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0, ,Yes,2, , ,n,{CA1689F4-86B2-4CE8-8D46-D34C5A3B3A6F}
285,286,wp18207,1961,2017-10-31,1000, ,2017-10-31,1000,1300,Cold (40°F-55°F),1202 E Fairwood Dr,Central,Loop,Paved,Medium,75,2.1,0,0,2,No,6,6,48,Cast Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0, ,Yes,2,Yes, ,n,{E0512EE6-5E67-44E0-B5C6-506314EF1D4D}
286,287,n468,1970,2017-11-01,900, ,2017-11-01,900,1300,Cold (40°F-55°F),315 N Jonson Ave,West,Loop,Lawn,Medium,65,1.9,0,0,2,No,6,6,48,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0, ,Yes,2, , ,n,{AD89682A-FD48-4526-B68F-F7591E9AABCD}
287,288,s4081,1973,2017-11-01,1600,Citizen,2017-11-01,1830,2230,Cold (40°F-55°F),1982 E Cheyanne Ln,Central,Loop,Lawn,Medium,60,1.52,0,0,2,No,6,6.9,44,Cast Iron,Mechanical Joint,None,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,No,0,"Improper Bedding, Ground Movement, Beam Break", ,Replaced, ,No,Pipe lifted at break to off set to clamp,72,1.63,0,0,Yes,Yes,4,Yes,No,n,{5B4D4C7D-D156-4C0A-A671-CFEC5F4798F0}
288,289,u4550,1953,2017-11-02,1200, ,2017-11-02,1200,1400,Cold (40°F-55°F),320 Pleasant Ridge,Central,Loop,Paved,Medium,75,1.9,0,0,2,No,6,6,48,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel, ,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0, ,Yes,2, , ,n,{5EC6AC63-FC5B-46B5-8494-CB50D4AF8085}
289,290,wp20055,1958,2017-11-04,2200,Citizen,2017-11-05,0,230,Cold (40°F-55°F),2450 N Browncliff Ln,Central,Loop,Lawn,Medium,62,1.67,0,0,2,No,6,6.9,48,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,No,0,"Ground Movement, Beam Break", ,Repaired, ,Yes, ,62,1.67,0,0,No,Yes,4,Yes,No,n,{3693C09F-53F6-4247-8478-7261DBD9AF69}
290,291,u408,1991,2017-11-07,730,Home Owner,2017-11-07,730,1500,Mild (55°F-70°F),2901 David St,Central,Loop,Paved,Light,80,2.2,80,2.2,2,No,6,6,60,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,No,0, , ,Replaced, ,No, ,0,0,0,0,Yes,Yes,2,Yes,Yes,n,{9238CF1F-9801-49C8-AF0D-F1E6EF0203AF}
291,292,o4537,1995,2017-11-11,830,Citizen,2017-11-12,1145,1300,Cold (40°F-55°F),118 Westplex Ave,Central,W to E,Vacant Lot,Light,20,3.4,0,0,2,Yes,6,0,48,Ductile Iron,Not Uncovered,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Blow Hole,No,0, , ,Repaired, ,No, ,45,3.4,0,0,Yes,Yes,6,Yes,No,n,{669A4080-D9DE-493A-85FB-AFD65D9AF5B0}
292,293,wp30918,1983,2017-11-19,200,Control,2017-11-19,400,930,Freezing (30°F-39°F),2700 S McCartney, ,Loop,"Lawn, Paved",None,0,0,0,0,1,Yes,6,0,72,Ductile Iron,Not Uncovered,None,"Gravel/Sand, Native Soils",Water Main,Pipe Barrel,Inside,Blow Hole,No,0,"Ground Movement, Temperature Changes, Defect in Pipe", ,Repaired, ,No, ,0,0,0,0,No,Yes,4,No, ,n,{65FE01BE-3831-41F3-9F9A-A671C96B98A5}
293,294,s44169,195,2017-11-19,1600,Control,2017-11-19,1800,2200,Freezing (30°F-39°F),1706 E 2nd St, ,Loop,Paved,Light,0,0,0,0,2,Yes,6,0,58,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,No,0,"Ground Movement, Defect in Pipe", ,Repaired, ,No, ,0,0,0,0,No,Yes,6,No, ,n,{CB816A01-9BEB-4E87-8037-038576C19050}
294,295,u4627,1972,2017-11-29,1400,Home Owner,2017-11-19,1400,1830,Cold (40°F-55°F),3613 E Grandview Dr,Central,Loop,Gravel,Medium,45,1.9,0,0,2,No,6,6,60,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Both, ,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0, ,Yes,2,Yes, ,n,{A89813E7-1FC8-4AB3-8698-310DEB509247}
295,296,u4343,1963,2017-12-10,720,Control,2017-12-10,720,1200,Below Freezing (<30°F),3605 E Homestead Dr,Central,E to W,Paved,Light,45,0,0,0,2,No,6,6.9,45,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel, ,Circumferential,No,0,Ground Movement, ,Repaired, ,No, ,0,0,45,2.2,No,Yes,2,No, ,n,{EDB892C5-81AC-42BB-A3FC-47A3F63BD314}
296,297,t4066,1971,2017-12-11,1000,Home Owner,2017-12-12,800,1100,Freezing (30°F-39°F),Behind 2211 S High St,Central,Loop,Vacant Lot,None,77,1.57,0,0,2,No,6,6,48,Cast Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0,No, , , , ,n,{45BFFB1C-6C8A-4080-A7C7-A3242EA8C9D2}
297,298,p3924,1990,2017-12-12,1144,Motorist,2017-12-12,1144,712,Below Freezing (<30°F),3014 S Cuffers,Central, ,Ditch,Light,0,0,0,0,1, ,4,4.8,40,Ductile Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel, ,Circumferential,No,0,Ground Movement, ,Replaced, ,Yes, ,0,0,0,0,No,Yes,2, , ,n,{088DD9D5-01C6-4CFE-8A68-528B6177D953}
298,299,l44147,1962,2017-12-13,700,Customer,2017-12-13,900,1130,Below Freezing (<30°F),627 Western Dr,West,N to S,Paved,Light,72,1.23,72,1.23,1,No,6,6.9,48,Cast Iron, ,None,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,No,0, , ,Repaired, ,Yes, ,0,0,0,0,No,Yes,2, , ,n,{0A6A8282-8C90-487E-94A5-05C009F030A1}
299,300,q3961,1965,2017-12-14,1200,Citizen,2017-12-14,1630,1930,Cold (40°F-55°F),135 E Ridgeview Dr,Central,Loop,Paved,Medium,86,1.88,97,1.87,1,No,6,6.9,48,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,Yes,0,"Improper Bedding, Ground Movement", ,Repaired, ,No,Turned down just a little,86,1.89,97,1.87,No,Yes,4,No, ,n,{ABCBB4DE-3C88-4940-B45A-EDF6A29EABD8}
300,301,r542,1965,2017-12-16,730,Citizen,2017-12-16,900,1200,Cold (40°F-55°F),4665 N Old State Rd 37,Central,N to S,Gravel,Medium,67,1.93,0,0,2,No,4,0,45,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,Yes,0,Ground Movement, ,Repaired, ,Yes, ,67,1.93,0,0,No,Yes,4,No, ,n,{C188EEBD-A509-4C30-B291-A064C0257C31}
301,302,wp32646,1971,2017-12-18,800,CBU Staff,2017-12-19,800,1135,Cold (40°F-55°F),2211 S High St,Central,Loop,Vacant Lot,Light,72,1.95,0,0,2,No,8,8,53,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,No,0,Ground Movement, ,Repaired, ,No, ,0,0,0,0, ,Yes,2,Yes,Yes,n,{A7A34E2F-2F03-4B60-B60E-78B28F3FCFB0}
302,303,wp21365,2000,2017-12-24,0, ,2017-12-18,0,0, ,512 E Kirkwood Ave,Central,Loop,Paved,Medium,87,1.9,0,0,3,Yes,4,4,48,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Service Lateral,Valve,Outside,Bolt Leak,Yes,0, , ,Repaired, ,No, ,0,0,0,0,Yes,Yes,2,Yes, ,n,{483A01F6-22E9-472D-BEFB-CDB802491973}
303,304,p4971,1958,2017-12-29,1025,Arlington Maintenance,2017-12-29,1200,2300,Below Freezing (<30°F),1600 N Willis,Central,Loop,Paved,Light,0,0,0,0,2,Yes,12,13.2,72,Cast Iron,Push-on/Slip,None,"Native Soils, (Write Type if Other)",Transmission Line,Pipe Barrel,Inside,Circumferential,Yes,0,"Damaged When Installed, Improper Bedding, Defect in Pipe", ,Replaced, ,No,Replaced 10' of line and added a valve,0,0,0,0,No,Yes,10,Yes,No,n,{FD7FC3C4-6F86-4E9E-8580-CDD03BD9D848}
304,305,r4785,1922,2018-01-02,800,IU,2018-01-02,800,1200,Below Freezing (<30°F),17th and Walnut Grove,Central,Loop,Paved,Medium,80,1.9,0,0,3,No,6,7.04,50,CI-lead joint,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0, , , , , ,n,{D1CC4F94-FD71-44DA-95D5-24ECE0F02F99}
305,306,u4567,1960,2018-01-04,900,Street Dept,2018-01-04,900,1000,Below Freezing (<30°F),E Randol Pl & S Meadowbrooke Dr,Central,Loop,Paved,Medium,80,1.8,0,0,2,No,6,6,53,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0, ,Yes,2, , ,n,{3A0B79DC-DCB9-4EC1-A965-B218F3F668BE}
306,307,wp18704,1986,2018-01-08,700,Citizen,2018-01-08,830,1230,Below Freezing (<30°F),724 N Lindbergh Dr,West,Loop,Gravel,Medium,59,1.45,0,0,1,No,6,6.9,42,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel, ,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,59,1.49,0,0,No,Yes,2,No, ,n,{99F367C4-66AE-4D51-9FA2-774205C2F389}
307,308,q46209,1910,2018-01-08,1000,BPD,2018-01-08,1000,1530,Freezing (30°F-39°F),10th and Dunn,Central,E to W,Paved,Heavy,80,1.9,0,0,3,No,6,7.1,56,CI-lead joint,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0, ,Yes,2, , ,n,{6395507F-BF66-4D29-9C24-BC59FDEF70BF}
308,309,l4499,1962,2018-01-11,1530,Home Owner,2018-01-12,800,1400,Below Freezing (<30°F),4123 W Middle Court,West,Loop,Paved,Medium,75,1.8,0,0,2,No,6,6,60,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,No, ,0,0,0,0, ,Yes,2, , ,n,{CFF36083-B1C9-4C14-B755-80964D8DD9ED}
309,310,wp34565,2018,2018-01-23,1400,Contractor,2018-01-23,1415,1800,Cold (40°F-55°F),300 W Gordon Pike,Central,Loop,Lawn,Medium,0,0,0,0,2,No,12,13.2,48,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Joint, , ,No,0,Contractor, ,Replaced, ,No,45° Bend Pushed Off,0,1.82,0,0,Yes,Yes,2,Yes,No,n,{F5C50ACA-6B07-4362-AB0F-6F70DBA39C11}
310,311,q5173,1959,2018-01-28,1000,Citizen,2018-01-28,1200,1500,Cold (40°F-55°F),2978 N Ramble Rd E,Central,Loop,Paved,Medium,82,2.05,0,0,2,No,6,6.9,45,Cast Iron, ,Gas,Gravel/Sand,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes,Shut two valves only droped pressure a couple of pounds,82,2.04,0,0,No,Yes,2,No, ,n,{237D55AB-877F-4044-A35B-F6040465A3F1}
311,312,o501,1955,2018-01-28,1430,Citizen,2018-01-28,1600,1830,Cold (40°F-55°F),2419 W Arlington Rd,Central,S to N,Paved,Heavy,0,0,40,1.32,2,No,8,9.05,45,Cast Iron, ,None,Native Soils,Water Main,Pipe Barrel,Outside,Blow Hole,No,0,Temperature Changes, ,Repaired, ,Yes, ,0,0,40,1.33,No,Yes,4,Yes,No,y,{581B35E0-5B7C-4D2A-BA35-179336D1AD3E}
312,313,u4567,1960,2018-01-29,730,Public,2018-01-29,800,1000,Freezing (30°F-39°F),E Randolph Ave,Central,Loop,Lawn,Light,75,2.2,0,0,1,No,6,6.9,54,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0, , , , , ,n,{587FA58F-869C-487F-9DF6-15A81B5ED7D4}
313,314,u4649,1957,2018-02-14,1100,Public,2018-02-14,1200,1500,Cold (40°F-55°F),626 Grandview Dr,Central,Loop,Paved,Medium,80,2.2,0,0,2,No,6,6,60,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0, ,Yes,2, , ,n,{C74A0248-8366-4F51-BFCF-B6B694A87666}
314,315,v4599,1963,2018-01-29,1200,ME Simpson,2018-02-15,830,1130,Cold (40°F-55°F),4021 E Morningside Dr,East,Loop,Lawn,Medium,70,2.02,70,2,2,No,6,6.9,36,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Other, ,Corporation,No,0,"Improper Bedding, Object On/Under Pipe",Replaced Corp.,Replaced, ,No, ,70,2.01,70,2,No,Yes,2,Yes, ,n,{1A2E1AB7-2B72-4799-AAF1-4527A2624BB2}
315,316,wp8987,1999,2018-02-13,800,Citizen,2018-02-14,830,1230,Cold (40°F-55°F),Bottom Rd,Central,S to N,Ditch,Medium,0,0,157,1.6,1,No,12,13.2,48,Ductile Iron,Push-on/Slip,Cable,Gravel/Sand,Water Main,Joint, , ,No,0,"Ground Movement, Water Hammer",Joint Pushed,Repaired, ,No,"Joint cut out, cut in sleeve and hi max repair",0,0,157,1.62,Yes,Yes,2,Yes,No,n,{0718B435-9B07-4676-9ED6-5B514A15C713}
316,317,s3948,1989,2018-02-26,1000,Citizen,2018-02-26,1200,1630,Mild (55°F-70°F),2001 Ashwood Ln,Central,E to W,Paved,Light,0,0,96,1.95,2,No,4,4.8,60,Ductile Iron, ,Sewer,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,Yes,0,Defect in Pipe,"Blowhole, while digging bumbed cap. New cap on dead end.",Repaired, ,No, ,0,0,97,1.96,Yes,Yes,4,Yes, ,n,{81A9A0BD-3269-4C26-82E9-1C6588C73DB8}
317,318,s4581,1957,2018-03-08,1800,Citizen,2018-03-09,830,1200,Cold (40°F-55°F),3rd and Clark,Central,Loop,Paved,Heavy,48,2.02,0,0,2,No,4,4.8,36,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,No,0,"Ground Movement, Beam Break", ,Repaired, ,Yes, ,48,2,0,0,No,Yes,2,No, ,n,{E86C9862-8744-4978-813F-A0692C88D39E}
318,319,r469,1922,2018-01-29,0,ME Simpson,2018-03-13,800,1300,Cold (40°F-55°F),715 E 7th St,Central,Loop,Paved,Heavy,0,0,76,2.2,3,No,6,7.01,48,CI-lead joint,Lead,None,"Native Soils, Gravel/Sand",Water Main,Other,Outside,Corporation,No,0,Improper Bedding, ,Repaired, ,No, ,0,0,76,2.2,No,Yes,2,No, ,n,{8478A1A2-36DE-4C61-935E-2BBF92FD20D6}
319,320,o322,1979,2018-03-04,1200,Dillman Staff,2018-03-15,1000,1300,Cold (40°F-55°F),100 W Dillman Rd,Central,E to W,Lawn, ,80,2.09,0,0,2,No,6,6,70,Ductile Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Outside,Blow Hole,No,0, , ,Repaired, ,No, ,0,0,0,0, , , ,Yes,No,n,{E34CC9EA-9709-45BC-8167-1AA93E61168F}
320,321,wp16053,1988,2018-03-27,1730, ,2018-03-27,2000,2230, ,3304 Roy Schmaltz Ct, ,E to W,Paved,Light,61,2.3,61,2.3,2,No,6,6.9,48,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,No,0,Defect in Pipe, ,Repaired, ,No, ,61,0,61,0,No,Yes,6,No, ,n,{2334E38B-AFE8-4970-8B55-95A17A067C60}
321,322,s42181,1970,2018-04-12,1000,Citizen,2018-04-17,800,1000, ,1902 S Wilton,Central,Loop,Paved,Medium,0,0,0,0,2,No,6,6.9,48,Cast Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel, ,Circumferential,No,0,"Ground Movement, Beam Break", ,Repaired, ,Yes, ,0,0,0,0,No,Yes,2,No, ,n,{5099691F-D56F-4F35-B629-90527FDD2D39}
322,323,wp15824,1989,2018-05-05,1130,Customer/Copntrol,2018-05-05,1530,2000, ,733 Pepper Ridge, ,Loop,"Paved, Lawn",Light,20,0,0,0,2,Yes,6,6.9,70,Ductile Iron,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel,Both,Blow Hole, ,0,Defect in Pipe, ,Repaired, ,No, ,0,0,0,0,No,Yes,4,Yes,Yes,n,{467A2F85-4712-485C-ABC1-C3EF52FDE496}
323,324,s3926,1988,2018-05-25,2215,Control,2018-05-26,800,1145,Hot (>70°F),3401 S Ashwood Dr,Central,N to S,Paved,Light,0,0,79,0,2,No,6,6.9,54,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,No,0, , ,Repaired, ,No,Maintained 25 psi,0,0,83,2.2, ,Yes,6,No, ,n,{27680A03-DCF4-44C1-B073-05B2B93AC072}
324,325,wp25745,1965,2018-05-26,1400,Control,2018-05-26,1400,1945,Hot (>70°F),5001 N Business 37,Central,N to S,Lawn,None,25,0,0,0,1,No,8,9.05,48,Cast Iron,Lead,None,Gravel/Sand,Water Main,Pipe Barrel, ,Longitudinal Split,No,0, ,"Old, fatigued?",Replaced, , , ,120,2.2,0,0,No,Yes,4,Yes,No,n,{13DDF068-FA65-4EED-8D46-4189CAF554D5}
325,326,s3926,1988,2018-05-28,1830,Citizen,2018-05-28,2000,2300,Hot (>70°F),3401 Ashwood Dr,Central,Loop,Paved,Light,0,0,76,1.82,2,No,6,6.9,60,Ductile Iron, ,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,Yes,1,Defect in Pipe, ,Repaired, ,No, ,0,0,80,1.59,No,Yes,4,Yes,No,n,{A9DFD420-B174-4811-8C3D-4D11AE99C182}
326,327,r3844,1989,2018-05-31,1330,Amber,2018-05-31,1500,1630,Hot (>70°F),3914 S Emilie Ct,South,N to S,Paved,None,91,2.1,0,0,1, ,8,0,57,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Blow Hole,Yes,0,Ground Movement, ,Repaired, ,No, ,92,2.1,0,0,No,Yes,2,Yes,No,n,{510FC177-A633-45C3-8FEB-51464EC6F318}
327,328,s44154,1950,2018-06-05,900,Control,2018-06-05,900,1300,Hot (>70°F),700 Eastside Dr,Central,S to N,Paved,Light,0,0,70,2,1,Yes,6,0,59,Cast Iron,Push-on/Slip,None, ,Water Main,Valve,Outside, ,No,0,Ground Movement, ,Repaired, ,No, ,0,0,0,0,No,Yes,2,Yes,Yes,n,{E7363FF4-A7D2-4A31-BFCF-7D58FA8A3FE6}
328,329,r38154,1988,2018-06-11,730,Home Owner,2018-06-11,830,1130,Hot (>70°F),1008 Jennifer Dr,Central,S to N,Paved,Light,80,1.7,0,0,2,Yes,6,0,48,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Transmission Line,Pipe Barrel,Inside,Blow Hole,No,0,Ground Movement, ,Repaired, ,No, ,0,0,0,0,No,Yes,2,Yes,No,n,{1CC1A5E0-2829-4855-B983-667EE43E4C9D}
329,330,wp10211,0,2018-06-13,700,Control,2019-06-13,730,1030,Hot (>70°F),1321 S Palmer,Central,S to N,Paved,Light,85,2.5,0,0,1,Yes,6,0,0,Cast Iron, ,None, ,Transmission Line,Pipe Barrel,Outside,Blow Hole,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0,No,Yes,2,Yes, ,n,{4C73967E-500D-4C21-9769-1DCF4792D03E}
330,331,wp14010,2002,2018-06-14,600,Home Owner,2018-06-14,700,1100,Mild (55°F-70°F),1101 Benson Ct,Central,S to N,Lawn,Medium,90,1.52,0,0,2,No,12,13.2,48,Ductile Iron,Push-on/Slip,Cable,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,No,0,Ground Movement, ,Repaired, , , ,0,0,0,0,No,Yes,4,Yes,No,n,{BE638172-64D7-461B-823C-FFDF822706F3}
331,332,r38168,1988,2018-06-14,800,Home Owner,2018-06-14,830,1130,Mild (55°F-70°F),3701 Grasstree Ct,Central,S to N,Paved,Light,87,2.5,0,0,1,Yes,6,0,0,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,No,0,Ground Movement, ,Repaired, , , ,0,0,0,0,No,Yes,2,Yes,No,n,{F509F288-764D-478D-B722-1FEA92CDE41A}
332,333,v4313,1986,2018-07-02,330,Newspaper Man,2018-07-02,430,1130,Hot (>70°F),1034 Dencaster Ct,West,S to N,Paved,Light,82,2.1,0,0,2,No,6,0,36,Ductile Iron, ,None, ,Water Main,Pipe Barrel,Outside,Blow Hole,No,0,Temperature Changes, , , ,No, ,90,2.1,0,0,No,Yes,4,Yes,No,n,{7339B177-561E-4476-B268-6853BC85B5CB}
333,334,s4164,1971,2018-07-02,1515,Control,2018-07-02,1515,2100,Hot (>70°F),2308 S Woodbluff Ct,Central,S to N,Paved,Light,0,0,53,2.2,2,No,4,4.9,59,Cast Iron,Push-on/Slip,Gas,Gravel/Sand,Water Main,Pipe Barrel,Outside,Longitudinal Split,Yes,0, , ,Repaired, ,No,Throttled psi to 20,0,0,86,2.2,No,Yes,4,No, ,n,{5396A051-F504-4BEA-8C66-BAB131A3BE94}
334,335,p5115,1961,2018-07-21,1840,Customer,2018-07-21,2000,0,Hot (>70°F),3321 N Soneycret Dr,Central,Loop,Paved,Light,60,1.82,67,1.52,1,No,6,0,48,Cast Iron,Not Uncovered,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Blow Hole,No,0,Ground Movement, ,Repaired, ,No, ,86,1.85,90,1.8,No,Yes,2,No, ,n,{2CDC16EB-9B82-4685-880A-B87087DAA8C8}
335,336,wp25745,1965,2018-07-26,1330,Fire Dept,2018-07-26,1500,1700,Hot (>70°F),5001 N Old 37, ,N to S,Lawn,None,35,0,150,0,2, ,8,0,48,Cast Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel, ,Longitudinal Split,Yes,3, , ,Replaced, ,No,"Replaced 86"""" pipe",150,0,0,0,No,Yes,2,Yes,No,n,{7351155D-166B-44CE-8AAF-D3A0EE76ECB3}
336,337,u4244,1989,2018-08-21,1400,Flushing Crew,2018-08-21,1500,1630,Hot (>70°F),2102 Crandall Ct,Central,N to S,Lawn,Light,0,0,55,1.95,2,No,6,6.9,48,Ductile Iron, ,Gas,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,No,0,Defect in Pipe, ,Repaired, ,No, ,0,0,58,1.99,No,Yes,4,Yes, ,n,{5276F299-876B-4473-ACB8-627DB546148B}
337,338,q3954,1965,2018-09-10,800,Home Owner,2018-09-10,830,1100,Hot (>70°F),105 Sunny Slopes,South,Loop,Paved,Light,85,1.95,0,0,1,No,4,4.8,42,Cast Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Longitudinal Split,No,0,Temperature Changes, ,Repaired, ,Yes, ,0,0,0,0, ,No, ,No, ,n,{EEB7DA1F-CEBD-427D-BC8C-B2F42969FAA0}
338,339,wp33651,2018,2018-09-10,1830, ,2018-09-10,2000,2300,Mild (55°F-70°F),Across from 3925 S Baytree, , ,Paved,Light,0,0,40,0,1,No,8,0,60,Ductile Iron, ,None,Gravel/Sand,Water Main,Pipe Barrel, ,Blow Hole,No,0,Defect in Pipe, ,Repaired, ,No, ,0,0,45,0,No, , ,Yes,No,n,{A4AEDAD7-7EDC-4D2C-98BA-6F7C94A3A170}
339,340,v46127,1964,2018-09-19,1100,Resident,2019-09-19,1200,1330,Hot (>70°F),Sheffield and Plymouth,West, ,Paved,Light,80,2.05,0,0,2,No,6,6.9,48,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Outside,Longitudinal Split,No,0,Temperature Changes, ,Repaired, , , ,0,0,0,0, ,No, ,No, ,n,{76C385EC-D437-46EE-966E-DAD6DF753485}
340,341,s392,1965,2018-10-02,730,Home Owner,2018-10-02,800,1100,Hot (>70°F),1533 Elliston,Central,W to E,Paved,Light,85,1.9,0,0,2,No,6,0,43,Cast Iron, ,None,Gravel/Sand,Water Main,Pipe Barrel,Outside, ,No,0,Temperature Changes, ,Repaired, , , ,0,0,0,0,No,No, ,Yes,No,n,{5E1B7E29-CE3D-4680-9F07-8A5CDC574EDA}
341,342,wp217,1994,2018-10-17,2100,Home Owner,2018-10-18,900,100,Cold (40°F-55°F),2023 Ross Ct, , ,Paved, ,65,0,0,0,1,No,6,0,48,Ductile Iron, ,Storm, ,Water Main,Pipe Barrel,Outside,Blow Hole,No,0,Defect in Pipe, ,Repaired, ,No, ,65,0,0,0,No,Yes,4,Yes,No,n,{3D97C72A-9F02-46E2-83F0-3D390E58B1D5}
