FID,tag,pipe_tag,pipe_year,date_repor,time_repor,reported_b,date_repai,time_start,time_compl,temperatur,address,pressure_z,direction_,surface_ab,traffic,pressure_c,chl_res_1_,pressure_1,chl_res_11,tallest_bu,special_se,size_of_ma,outside_di,depth_of_p,pipe_mater,type_of_jo,other_line,existing_b,descriptio,damaged_pa,deteriorat,type_of_fa,prev_leaks,number_of_,cause_of_b,remarks,repaired_o,method_of_,repairs_ma,comments,pres_ch_3_,chl_res_3_,pres_ch_31,chl_res_31,solution_s,trench_pum,pump_size_,line_flush,both_direc,abandoned,globalid
227,228,wp3440,1959,2016-09-26,730,Tom Axsom,2016-09-28,730,1400,Mild (55°F-70°F),1613 Clifton Ave, ,E to W,Paved,Light,0,0,0,0,2,No,2,2.63,42,Cast Iron, ,None,Native Soils,Water Main,Pipe Barrel,Outside,Blow Hole,Yes,2,Defect in Pipe, ,Repaired, ,Yes, ,0,0,0,0,No,Yes,2,No, ,y,{C69A5C56-D022-40DD-B203-6BAD4737D4CD}
228,229,p5141,1956,2016-10-05,1000, ,2016-10-06,1100,1200,Hot (>70°F),3331 N Kinser Pike, , , ,Medium,55,2.2,54,2,2,No,6,6,42,Cast Iron,Lead,None,Native Soils,Service Lateral,Other, ,Corporation,No,0,Broken Around Tap, ,Repaired, ,No, ,55,2,54,2.1,Yes,Yes,2,Yes,Yes,n,{966AB48C-C7F0-425A-B07F-6230CBBA0C09}
229,230,v4559,1962,2016-10-27,730,Jane Figg,2016-10-27,800,1300,Mild (55°F-70°F),Parkridge & Morningside,South,Loop,Lawn,Medium,75,2.4,75,2.4,3,No,6,6,66,Cast Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0, ,Yes,2, , ,n,{70839833-F79D-4E77-9BB8-7CF3DB4A4F6D}
230,231,l3884,1961,2016-10-28,730,Tony Eads,2016-10-28,800,0,Mild (55°F-70°F),3921 Sims Ln,West,Loop,Lawn,Medium,75,2.1,75,2.1,2,No,6,6,53,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0,No,Yes,2,Yes, ,n,{70A05789-7711-4239-9B20-49EC80719A5D}
231,232,v45115,1966,2016-11-11,220,Larry Harden,2016-11-11,500,1400,Cold (40°F-55°F),3801 E 3rd, , ,Paved,Heavy,45,2,45,2,1,No,12,0,54,Cast Iron,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0,No,Yes,4,No, ,n,{219F1C70-9951-4A62-83B6-98D13ADAECE4}
232,233,wp23968,2000,2016-11-12,2030,BPD,2016-11-13,2230,400,Freezing (30°F-39°F),1600 S Rogers,West, ,Paved,None,71,2,0,0,1,No,6,6.9,60,Ductile Iron,Not Uncovered,Gas,Gravel/Sand,Water Main,Pipe Barrel,Outside,Circumferential,No,0,Ground Movement, ,Repaired, ,No, ,0,0,0,0,No,Yes,2,No, ,n,{5D04F527-D90E-42B2-82C7-D18D40ED7C40}
233,234,u467,1963,2016-11-16,400,Bobby Seegar,2016-11-16,900,0,Mild (55°F-70°F),3442 E Longview,Central,Loop,Lawn,Medium,47,2.2,0,0,2,No,6,6,60,Cast Iron, ,None,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0,No,Yes,2,No, ,n,{A4BEF196-2F84-4371-9A58-30E5F274B977}
234,235,p5035,1956,2016-11-19,1000, ,2016-11-16,1100,1300,Cold (40°F-55°F),W. Cloverter and N. Cascade Dr.,Central,Loop,Paved,Medium,80,2.1,0,0,2,No,6,6,48,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0,No,Yes,4,No, ,n,{233CA498-A41E-45CA-9775-D5A5ECDF0B31}
235,236,wp34021,1971,2016-11-22,900,Joe Perry,2016-11-22,1300,1400, ,37 and Ellis Rd., ,E to W,Paved,Heavy,121,2.3,121,2.3,0,No,6,6.9,48,Cast Iron, ,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,No, ,0,0,0,0,No,Yes,4,Yes,No,n,{E499B5F8-C8CD-434C-A624-1D8CDEDB5545}
236,237,v4745,1976,2016-11-23,1000,Control,2016-11-23,1200,1330,Cold (40°F-55°F),4580 E 10th St, ,N to S,Ditch,None,65,0.49,65,0.49,2,No,6,6.9,54,CI or DI, ,Gas,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,No, ,0,0,0,0,No,Yes,4,No, ,n,{7FC76ECE-D4A9-4EEA-920C-BA589E8B963E}
